ENTREZ_ID,GENESYMBOLS
1385,AT1G70270
1386,AT2G28320
1387,GPCR
1388,PDH-E1 BETA
1389,AT1G53560
1390,CYN
1391,AT1G69910
1392,AT1G25570
1393,AMT1;4
1394,AT3G04310
1395,AT3G18362
1396,AT1G79075
1397,AT1G47813
1398,UREG
1399,PGR5
1400,AT3G47110
1401,INH3
1402,RAB8C
1403,AT2G24545
1404,ERDL6
1405,AT5G08320
1406,AT5G59613
1407,TKPR2
1408,AT1G69840
1409,AT5G59650
1410,AT4G03460
1411,MBD6
1412,AT1G35360
1413,AT2G27775
1414,UBC19
1415,AT2G09187
1416,scpl46
1417,SADHU10-1
1418,AT1G43886
1419,IDD12
1420,EIP9
1421,RABA1g
1422,RAB7B
1423,UCP2
1424,ZF1
1425,AT1G13190
1426,AT5G48590
1427,AT5G42070
1428,APX1
1429,AT5G26600
1430,WAVH2
1431,SHM1
1432,RBCS3B
1433,AT2G28410
1434,mMDH2
1435,NDL3
1436,AT3G53370
1437,AT1G64195
1438,MST1
1439,AT1G13145
1440,AT2G15610
1441,AT1G61710
1442,AT5G09830
1443,BGLU18
1444,GH9A1
1445,KCS9
1446,AOS
1447,AT2G04039
1448,GAPB
1449,SAP18
1450,AGL80
1451,AT1G69990
1452,AT4G27120
1453,PGI1
1454,AT5G37890
1455,LIP2
1456,AT1G32385
1457,AT3G53403
1458,AT4G05430
1459,AT5G55550
1460,AT3G29690
1461,KLCR2
1462,AT5G38260
1463,AT1G68238
1464,AT2G30890
1465,IQD10
1466,AT1G05950
1467,AT1G45229
1468,AT1G24600
1469,CLH1
1470,AT1G64850
1471,RGXT2
1472,KCS1
1473,AT5G44575
1474,OPR3
1475,GSTF10
1476,NTMC2T5.2
1477,AT2G40710
1478,PLR1
1479,AT3G63540
1480,AT2G34510
1481,AT4G39840
1482,AT3G07000
1483,bZIP23
1484,SCP2
1485,AT4G23215
1486,AT5G53850
1487,UMAMIT42
1488,MES17
1489,VHA-E3
1490,AT5G37550
1491,AT3G49720
1492,AT3G56020
1493,AT3G51010
1494,GDCH
1495,AT4G23730
1496,B120
1497,AT4G18590
1498,AT1G31550
1499,AT1G24050
1500,AT2G01870
1501,AT1G76530
1502,GALS1
1503,HSD3
1504,AT2G42320
1505,ADT1
1506,AT5G22810
1507,MIR843
1508,AT5G41120
1509,LRR XI-23
1510,AT5G58990
1511,AT5G59900
1512,MYB82
1513,CSN5B
1514,ProT3
1515,CB5LP
1516,AT3G01980
1517,AT4G12130
1518,ETP2
1519,AT5G06410
1520,AT3G47830
1521,CESA6
1522,AT3G16900
1523,MSRB5
1524,AT3G16650
1525,RWA2
1526,AT5G06750
1527,AT3G52470
1528,IRX15-L
1529,AT3G61360
1530,AT3G28160
1531,PP2-A5
1532,AT3G29578
1533,AT1G72340
1534,AT5G02920
1535,HAM1
1536,MIR402
1537,RIN2
1538,AT1G73890
1539,AT3G57730
1540,AT2G20835
1541,VSP2
1542,AT5G61940
1543,AT5G59660
1544,TSA1
1545,AT2G25530
1546,AT1G26850
1547,PPa4
1548,pPLAIIIbeta
1549,GSTF9
1550,OEP16-3
1551,AT2G38890
1552,AT5G19240
1553,RS31a
1554,AT5G19670
1555,AT2G23370
1556,AT4G33370
1557,AT5G35800
1558,AT3G59740
1559,SCE1
1560,EML2
1561,AT4G33860
1562,MSL6
1563,AT2G31790
1564,PRXCA
1565,AT1G18410
1566,AT1G01660
1567,MYB95
1568,AT1G23220
1569,AT4G32800
1570,AT4G03530
1571,AT4G08220
1572,AT3G27340
1573,FUT8
1574,AT1G14640
1575,AXR3
1576,MC4
1577,HY5
1578,BRG1
1579,AT2G19680
1580,RABA5b
1581,AT2G45520
1582,U12
